,URL,RecipeName,Ingredients
0,https://www.tasteofhome.com/recipes/mini-caramel-rolls/,Mini Caramel Rolls,1/3 cup packed brown sugar
1,https://www.tasteofhome.com/recipes/mini-caramel-rolls/,Mini Caramel Rolls,"1/3 cup butter, cubed"
2,https://www.tasteofhome.com/recipes/mini-caramel-rolls/,Mini Caramel Rolls,2 tablespoons light corn syrup
3,https://www.tasteofhome.com/recipes/mini-caramel-rolls/,Mini Caramel Rolls,1-1/2 teaspoons 2% milk
4,https://www.tasteofhome.com/recipes/mini-caramel-rolls/,Mini Caramel Rolls,1 tube (8 ounces) refrigerated crescent rolls
5,https://www.tasteofhome.com/recipes/mini-caramel-rolls/,Mini Caramel Rolls,2 teaspoons sugar
6,https://www.tasteofhome.com/recipes/mini-caramel-rolls/,Mini Caramel Rolls,1/2 teaspoon ground cinnamon
7,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/2 pound ground beef
8,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,"5 bacon strips, diced"
9,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/2 cup chopped onion
10,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/3 cup packed brown sugar
11,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/4 cup sugar
12,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/4 cup ketchup
13,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/4 cup barbecue sauce
14,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,2 tablespoons molasses
15,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,2 tablespoons prepared mustard
16,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/2 teaspoon chili powder
17,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,1/2 teaspoon salt
18,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,"2 cans (16 ounces each) pork and beans, undrained"
19,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,"1 can (16 ounces) butter beans, rinsed and drained"
20,https://www.tasteofhome.com/recipes/three-bean-baked-beans/,Three-Bean Baked Beans,"1 can (16 ounces) kidney beans, rinsed and drained"
21,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,"1 package (8 ounces) cream cheese, softened"
22,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,1 cup shredded sharp cheddar cheese
23,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,1 cup shredded Monterey Jack cheese
24,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,"6 bacon strips, cooked and crumbled"
25,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,1/4 teaspoon salt
26,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,1/4 teaspoon garlic powder
27,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,1/4 teaspoon chili powder
28,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,"1 pound fresh jalapenos, halved lengthwise and seeded"
29,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,1/2 cup dry bread crumbs
30,https://www.tasteofhome.com/recipes/pepper-poppers/,Pepper Poppers,"Sour cream, onion dip or ranch salad dressing"
31,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,1-1/2 cups all-purpose flour
32,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,2/3 cup sugar
33,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,3/4 teaspoon baking powder
34,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,3/4 teaspoon baking soda
35,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,1/4 teaspoon salt
36,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,1 large egg
37,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,1 cup sour cream
38,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,"5 tablespoons butter, melted"
39,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,1 teaspoon vanilla extract
40,https://www.tasteofhome.com/recipes/sour-cream-chip-muffins/,Sour Cream Chip Muffins,3/4 cup mint or semisweet chocolate chips
41,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,1 beef rump roast or bottom round roast (4 pounds)
42,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,2 tablespoons canola oil
43,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,"2 large sweet onions, cut into 1/4-inch slices"
44,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,"6 tablespoons butter, softened, divided"
45,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,5 cups water
46,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,1/2 cup reduced-sodium soy sauce
47,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,1 envelope onion soup mix
48,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,"1 garlic clove, minced"
49,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,"1 teaspoon browning sauce, optional"
50,https://www.tasteofhome.com/recipes/onion-beef-au-jus/,Onion Beef au Jus,1 loaf (1 pound) French bread
